,Numerical ID,Model name,Value
0,LRG1,LRGF1L6P3S1A,"[[469  24]
 [ 30 403]]"
1,LRG2,LRGF1L6P3S1B,"[[469  24]
 [ 30 403]]"
2,LRG3,LRGF1L6P3S2A,"[[469  24]
 [ 30 403]]"
3,LRG4,LRGF1L6P3S2B,"[[469  24]
 [ 30 403]]"
4,LRG5,LRGF1L6P3S3A,"[[467  26]
 [ 31 402]]"
5,LRG6,LRGF1L6P3S3B,"[[467  26]
 [ 32 401]]"
6,LRG7,LRGF1L6P3S4A,"[[469  24]
 [ 30 403]]"
7,LRG8,LRGF1L6P3S4B,"[[469  24]
 [ 30 403]]"
8,LRG9,LRGF1L6P3S5A,"[[468  25]
 [ 30 403]]"
9,LRG10,LRGF1L6P3S5B,"[[471  22]
 [ 31 402]]"
10,LRG11,LRGF1L6P5S1A,"[[689  47]
 [ 36 617]]"
11,LRG12,LRGF1L6P5S1B,"[[689  47]
 [ 36 617]]"
12,LRG13,LRGF1L6P5S2A,"[[689  47]
 [ 36 617]]"
13,LRG14,LRGF1L6P5S2B,"[[689  47]
 [ 36 617]]"
14,LRG15,LRGF1L6P5S3A,"[[688  48]
 [ 38 615]]"
15,LRG16,LRGF1L6P5S3B,"[[688  48]
 [ 38 615]]"
16,LRG17,LRGF1L6P5S4A,"[[689  47]
 [ 36 617]]"
17,LRG18,LRGF1L6P5S4B,"[[689  47]
 [ 37 616]]"
18,LRG19,LRGF1L6P5S5A,"[[688  48]
 [ 37 616]]"
19,LRG20,LRGF1L6P5S5B,"[[688  48]
 [ 37 616]]"
20,LRG21,LRGF2L6P3S1A,"[[469  24]
 [ 26 407]]"
21,LRG22,LRGF2L6P3S1B,"[[470  23]
 [ 27 406]]"
22,LRG23,LRGF2L6P3S2A,"[[469  24]
 [ 26 407]]"
23,LRG24,LRGF2L6P3S2B,"[[470  23]
 [ 27 406]]"
24,LRG25,LRGF2L6P3S3A,"[[465  28]
 [ 27 406]]"
25,LRG26,LRGF2L6P3S3B,"[[465  28]
 [ 28 405]]"
26,LRG27,LRGF2L6P3S4A,"[[470  23]
 [ 26 407]]"
27,LRG28,LRGF2L6P3S4B,"[[470  23]
 [ 28 405]]"
28,LRG29,LRGF2L6P3S5A,"[[469  24]
 [ 27 406]]"
29,LRG30,LRGF2L6P3S5B,"[[470  23]
 [ 28 405]]"
30,LRG31,LRGF2L6P5S1A,"[[687  49]
 [ 36 617]]"
31,LRG32,LRGF2L6P5S1B,"[[687  49]
 [ 38 615]]"
32,LRG33,LRGF2L6P5S2A,"[[687  49]
 [ 36 617]]"
33,LRG34,LRGF2L6P5S2B,"[[687  49]
 [ 38 615]]"
34,LRG35,LRGF2L6P5S3A,"[[690  46]
 [ 33 620]]"
35,LRG36,LRGF2L6P5S3B,"[[690  46]
 [ 33 620]]"
36,LRG37,LRGF2L6P5S4A,"[[685  51]
 [ 36 617]]"
37,LRG38,LRGF2L6P5S4B,"[[687  49]
 [ 36 617]]"
38,LRG39,LRGF2L6P5S5A,"[[687  49]
 [ 33 620]]"
39,LRG40,LRGF2L6P5S5B,"[[688  48]
 [ 34 619]]"
40,LRG41,LRGF3L6P3S1A,"[[421  72]
 [ 54 379]]"
41,LRG42,LRGF3L6P3S1B,"[[421  72]
 [ 55 378]]"
42,LRG43,LRGF3L6P3S2A,"[[421  72]
 [ 54 379]]"
43,LRG44,LRGF3L6P3S2B,"[[421  72]
 [ 55 378]]"
44,LRG45,LRGF3L6P3S3A,"[[422  71]
 [ 54 379]]"
45,LRG46,LRGF3L6P3S3B,"[[422  71]
 [ 54 379]]"
46,LRG47,LRGF3L6P3S4A,"[[421  72]
 [ 54 379]]"
47,LRG48,LRGF3L6P3S4B,"[[421  72]
 [ 54 379]]"
48,LRG49,LRGF3L6P3S5A,"[[421  72]
 [ 54 379]]"
49,LRG50,LRGF3L6P3S5B,"[[421  72]
 [ 54 379]]"
50,LRG51,LRGF3L6P5S1A,"[[627 109]
 [ 78 575]]"
51,LRG52,LRGF3L6P5S1B,"[[629 107]
 [ 83 570]]"
52,LRG53,LRGF3L6P5S2A,"[[627 109]
 [ 77 576]]"
53,LRG54,LRGF3L6P5S2B,"[[630 106]
 [ 84 569]]"
54,LRG55,LRGF3L6P5S3A,"[[626 110]
 [ 77 576]]"
55,LRG56,LRGF3L6P5S3B,"[[633 103]
 [ 82 571]]"
56,LRG57,LRGF3L6P5S4A,"[[627 109]
 [ 78 575]]"
57,LRG58,LRGF3L6P5S4B,"[[629 107]
 [ 83 570]]"
58,LRG59,LRGF3L6P5S5A,"[[627 109]
 [ 77 576]]"
59,LRG60,LRGF3L6P5S5B,"[[630 106]
 [ 83 570]]"
60,LRG61,LRGF4L6P3S1A,"[[461  32]
 [ 28 405]]"
61,LRG62,LRGF4L6P3S1B,"[[461  32]
 [ 29 404]]"
62,LRG63,LRGF4L6P3S2A,"[[461  32]
 [ 26 407]]"
63,LRG64,LRGF4L6P3S2B,"[[460  33]
 [ 27 406]]"
64,LRG65,LRGF4L6P3S3A,"[[461  32]
 [ 27 406]]"
65,LRG66,LRGF4L6P3S3B,"[[459  34]
 [ 27 406]]"
66,LRG67,LRGF4L6P3S4A,"[[407  86]
 [ 58 375]]"
67,LRG68,LRGF4L6P3S4B,"[[412  81]
 [ 62 371]]"
68,LRG69,LRGF4L6P3S5A,"[[384 109]
 [ 43 390]]"
69,LRG70,LRGF4L6P3S5B,"[[389 104]
 [ 49 384]]"
70,LRG71,LRGF4L6P5S1A,"[[676  60]
 [ 42 611]]"
71,LRG72,LRGF4L6P5S1B,"[[677  59]
 [ 43 610]]"
72,LRG73,LRGF4L6P5S2A,"[[679  57]
 [ 44 609]]"
73,LRG74,LRGF4L6P5S2B,"[[678  58]
 [ 42 611]]"
74,LRG75,LRGF4L6P5S3A,"[[676  60]
 [ 41 612]]"
75,LRG76,LRGF4L6P5S3B,"[[675  61]
 [ 42 611]]"
76,LRG77,LRGF4L6P5S4A,"[[596 140]
 [ 74 579]]"
77,LRG78,LRGF4L6P5S4B,"[[603 133]
 [ 80 573]]"
78,LRG79,LRGF4L6P5S5A,"[[550 186]
 [ 56 597]]"
79,LRG80,LRGF4L6P5S5B,"[[557 179]
 [ 61 592]]"
