,Numerical ID,Model name,Value
0,RF1,RFF1L6P3EN1A,"[[483  10]
 [ 33 400]]"
1,RF2,RFF1L6P3EN1B,"[[480  13]
 [ 29 404]]"
2,RF3,RFF1L6P3EN2A,"[[481  12]
 [ 27 406]]"
3,RF4,RFF1L6P3EN2B,"[[483  10]
 [ 28 405]]"
4,RF5,RFF1L6P3EN3A,"[[481  12]
 [ 30 403]]"
5,RF6,RFF1L6P3EN3B,"[[483  10]
 [ 28 405]]"
6,RF7,RFF1L6P3GN1A,"[[480  13]
 [ 26 407]]"
7,RF8,RFF1L6P3GN1B,"[[477  16]
 [ 26 407]]"
8,RF9,RFF1L6P3GN2A,"[[480  13]
 [ 26 407]]"
9,RF10,RFF1L6P3GN2B,"[[478  15]
 [ 26 407]]"
10,RF11,RFF1L6P3GN3A,"[[480  13]
 [ 27 406]]"
11,RF12,RFF1L6P3GN3B,"[[479  14]
 [ 27 406]]"
12,RF13,RFF1L6P5EN1A,"[[711  25]
 [ 40 613]]"
13,RF14,RFF1L6P5EN1B,"[[704  32]
 [ 38 615]]"
14,RF15,RFF1L6P5EN2A,"[[711  25]
 [ 41 612]]"
15,RF16,RFF1L6P5EN2B,"[[710  26]
 [ 41 612]]"
16,RF17,RFF1L6P5EN3A,"[[712  24]
 [ 41 612]]"
17,RF18,RFF1L6P5EN3B,"[[709  27]
 [ 42 611]]"
18,RF19,RFF1L6P5GN1A,"[[709  27]
 [ 39 614]]"
19,RF20,RFF1L6P5GN1B,"[[705  31]
 [ 33 620]]"
20,RF21,RFF1L6P5GN2A,"[[708  28]
 [ 34 619]]"
21,RF22,RFF1L6P5GN2B,"[[709  27]
 [ 38 615]]"
22,RF23,RFF1L6P5GN3A,"[[709  27]
 [ 37 616]]"
23,RF24,RFF1L6P5GN3B,"[[709  27]
 [ 36 617]]"
24,RF25,RFF2L6P3EN1A,"[[483  10]
 [ 33 400]]"
25,RF26,RFF2L6P3EN1B,"[[484   9]
 [ 37 396]]"
26,RF27,RFF2L6P3EN2A,"[[486   7]
 [ 32 401]]"
27,RF28,RFF2L6P3EN2B,"[[484   9]
 [ 35 398]]"
28,RF29,RFF2L6P3EN3A,"[[483  10]
 [ 35 398]]"
29,RF30,RFF2L6P3EN3B,"[[482  11]
 [ 35 398]]"
30,RF31,RFF2L6P3GN1A,"[[477  16]
 [ 33 400]]"
31,RF32,RFF2L6P3GN1B,"[[479  14]
 [ 29 404]]"
32,RF33,RFF2L6P3GN2A,"[[481  12]
 [ 32 401]]"
33,RF34,RFF2L6P3GN2B,"[[479  14]
 [ 30 403]]"
34,RF35,RFF2L6P3GN3A,"[[481  12]
 [ 30 403]]"
35,RF36,RFF2L6P3GN3B,"[[479  14]
 [ 29 404]]"
36,RF37,RFF2L6P5EN1A,"[[709  27]
 [ 47 606]]"
37,RF38,RFF2L6P5EN1B,"[[711  25]
 [ 45 608]]"
38,RF39,RFF2L6P5EN2A,"[[710  26]
 [ 44 609]]"
39,RF40,RFF2L6P5EN2B,"[[711  25]
 [ 43 610]]"
40,RF41,RFF2L6P5EN3A,"[[711  25]
 [ 45 608]]"
41,RF42,RFF2L6P5EN3B,"[[712  24]
 [ 43 610]]"
42,RF43,RFF2L6P5GN1A,"[[706  30]
 [ 43 610]]"
43,RF44,RFF2L6P5GN1B,"[[706  30]
 [ 45 608]]"
44,RF45,RFF2L6P5GN2A,"[[711  25]
 [ 43 610]]"
45,RF46,RFF2L6P5GN2B,"[[706  30]
 [ 46 607]]"
46,RF47,RFF2L6P5GN3A,"[[709  27]
 [ 45 608]]"
47,RF48,RFF2L6P5GN3B,"[[703  33]
 [ 45 608]]"
48,RF49,RFF3L6P3EN1A,"[[463  30]
 [ 28 405]]"
49,RF50,RFF3L6P3EN1B,"[[462  31]
 [ 25 408]]"
50,RF51,RFF3L6P3EN2A,"[[463  30]
 [ 25 408]]"
51,RF52,RFF3L6P3EN2B,"[[462  31]
 [ 23 410]]"
52,RF53,RFF3L6P3EN3A,"[[462  31]
 [ 25 408]]"
53,RF54,RFF3L6P3EN3B,"[[463  30]
 [ 23 410]]"
54,RF55,RFF3L6P3GN1A,"[[463  30]
 [ 27 406]]"
55,RF56,RFF3L6P3GN1B,"[[460  33]
 [ 27 406]]"
56,RF57,RFF3L6P3GN2A,"[[462  31]
 [ 24 409]]"
57,RF58,RFF3L6P3GN2B,"[[460  33]
 [ 24 409]]"
58,RF59,RFF3L6P3GN3A,"[[462  31]
 [ 24 409]]"
59,RF60,RFF3L6P3GN3B,"[[461  32]
 [ 24 409]]"
60,RF61,RFF3L6P5EN1A,"[[676  60]
 [ 36 617]]"
61,RF62,RFF3L6P5EN1B,"[[676  60]
 [ 32 621]]"
62,RF63,RFF3L6P5EN2A,"[[676  60]
 [ 33 620]]"
63,RF64,RFF3L6P5EN2B,"[[676  60]
 [ 32 621]]"
64,RF65,RFF3L6P5EN3A,"[[674  62]
 [ 31 622]]"
65,RF66,RFF3L6P5EN3B,"[[677  59]
 [ 31 622]]"
66,RF67,RFF3L6P5GN1A,"[[679  57]
 [ 35 618]]"
67,RF68,RFF3L6P5GN1B,"[[684  52]
 [ 33 620]]"
68,RF69,RFF3L6P5GN2A,"[[679  57]
 [ 31 622]]"
69,RF70,RFF3L6P5GN2B,"[[685  51]
 [ 29 624]]"
70,RF71,RFF3L6P5GN3A,"[[681  55]
 [ 31 622]]"
71,RF72,RFF3L6P5GN3B,"[[682  54]
 [ 29 624]]"
72,RF73,RFF4L6P3EN1A,"[[461  32]
 [ 27 406]]"
73,RF74,RFF4L6P3EN1B,"[[456  37]
 [ 27 406]]"
74,RF75,RFF4L6P3EN2A,"[[456  37]
 [ 27 406]]"
75,RF76,RFF4L6P3EN2B,"[[457  36]
 [ 27 406]]"
76,RF77,RFF4L6P3EN3A,"[[454  39]
 [ 26 407]]"
77,RF78,RFF4L6P3EN3B,"[[456  37]
 [ 27 406]]"
78,RF79,RFF4L6P3GN1A,"[[461  32]
 [ 28 405]]"
79,RF80,RFF4L6P3GN1B,"[[457  36]
 [ 27 406]]"
80,RF81,RFF4L6P3GN2A,"[[456  37]
 [ 27 406]]"
81,RF82,RFF4L6P3GN2B,"[[458  35]
 [ 24 409]]"
82,RF83,RFF4L6P3GN3A,"[[456  37]
 [ 26 407]]"
83,RF84,RFF4L6P3GN3B,"[[455  38]
 [ 25 408]]"
84,RF85,RFF4L6P5EN1A,"[[689  47]
 [ 42 611]]"
85,RF86,RFF4L6P5EN1B,"[[687  49]
 [ 42 611]]"
86,RF87,RFF4L6P5EN2A,"[[684  52]
 [ 42 611]]"
87,RF88,RFF4L6P5EN2B,"[[683  53]
 [ 40 613]]"
88,RF89,RFF4L6P5EN3A,"[[684  52]
 [ 41 612]]"
89,RF90,RFF4L6P5EN3B,"[[682  54]
 [ 40 613]]"
90,RF91,RFF4L6P5GN1A,"[[684  52]
 [ 41 612]]"
91,RF92,RFF4L6P5GN1B,"[[682  54]
 [ 39 614]]"
92,RF93,RFF4L6P5GN2A,"[[683  53]
 [ 39 614]]"
93,RF94,RFF4L6P5GN2B,"[[680  56]
 [ 41 612]]"
94,RF95,RFF4L6P5GN3A,"[[683  53]
 [ 41 612]]"
95,RF96,RFF4L6P5GN3B,"[[678  58]
 [ 39 614]]"
