,Numerical ID,Model name,Value
0,SVM1,SVMF1L6P3K1A,"[[465  28]
 [ 27 406]]"
1,SVM2,SVMF1L6P3K1B,"[[463  30]
 [ 27 406]]"
2,SVM3,SVMF1L6P3K2A,"[[487   6]
 [ 49 384]]"
3,SVM4,SVMF1L6P3K2B,"[[487   6]
 [ 49 384]]"
4,SVM5,SVMF1L6P3K3A,"[[481  12]
 [ 31 402]]"
5,SVM6,SVMF1L6P3K3B,"[[482  11]
 [ 33 400]]"
6,SVM7,SVMF1L6P3K4A,"[[446  47]
 [ 43 390]]"
7,SVM8,SVMF1L6P3K4B,"[[446  47]
 [ 43 390]]"
8,SVM9,SVMF1L6P5K1A,"[[689  47]
 [ 38 615]]"
9,SVM10,SVMF1L6P5K1B,"[[690  46]
 [ 38 615]]"
10,SVM11,SVMF1L6P5K2A,"[[724  12]
 [ 73 580]]"
11,SVM12,SVMF1L6P5K2B,"[[724  12]
 [ 75 578]]"
12,SVM13,SVMF1L6P5K3A,"[[713  23]
 [ 42 611]]"
13,SVM14,SVMF1L6P5K3B,"[[713  23]
 [ 43 610]]"
14,SVM15,SVMF1L6P5K4A,"[[664  72]
 [ 57 596]]"
15,SVM16,SVMF1L6P5K4B,"[[668  68]
 [ 62 591]]"
16,SVM17,SVMF2L6P3K1A,"[[464  29]
 [ 29 404]]"
17,SVM18,SVMF2L6P3K1B,"[[465  28]
 [ 32 401]]"
18,SVM19,SVMF2L6P3K2A,"[[488   5]
 [ 61 372]]"
19,SVM20,SVMF2L6P3K2B,"[[488   5]
 [ 62 371]]"
20,SVM21,SVMF2L6P3K3A,"[[483  10]
 [ 33 400]]"
21,SVM22,SVMF2L6P3K3B,"[[484   9]
 [ 33 400]]"
22,SVM23,SVMF2L6P3K4A,"[[453  40]
 [ 37 396]]"
23,SVM24,SVMF2L6P3K4B,"[[455  38]
 [ 40 393]]"
24,SVM25,SVMF2L6P5K1A,"[[677  59]
 [ 36 617]]"
25,SVM26,SVMF2L6P5K1B,"[[679  57]
 [ 38 615]]"
26,SVM27,SVMF2L6P5K2A,"[[722  14]
 [ 88 565]]"
27,SVM28,SVMF2L6P5K2B,"[[722  14]
 [ 89 564]]"
28,SVM29,SVMF2L6P5K3A,"[[714  22]
 [ 46 607]]"
29,SVM30,SVMF2L6P5K3B,"[[714  22]
 [ 46 607]]"
30,SVM31,SVMF2L6P5K4A,"[[668  68]
 [ 56 597]]"
31,SVM32,SVMF2L6P5K4B,"[[669  67]
 [ 60 593]]"
32,SVM33,SVMF3L6P3K1A,"[[427  66]
 [ 50 383]]"
33,SVM34,SVMF3L6P3K1B,"[[428  65]
 [ 56 377]]"
34,SVM35,SVMF3L6P3K2A,"[[465  28]
 [ 30 403]]"
35,SVM36,SVMF3L6P3K2B,"[[466  27]
 [ 32 401]]"
36,SVM37,SVMF3L6P3K3A,"[[451  42]
 [ 29 404]]"
37,SVM38,SVMF3L6P3K3B,"[[452  41]
 [ 32 401]]"
38,SVM39,SVMF3L6P3K4A,"[[322 171]
 [182 251]]"
39,SVM40,SVMF3L6P3K4B,"[[327 166]
 [186 247]]"
40,SVM41,SVMF3L6P5K1A,"[[632 104]
 [ 66 587]]"
41,SVM42,SVMF3L6P5K1B,"[[637  99]
 [ 71 582]]"
42,SVM43,SVMF3L6P5K2A,"[[690  46]
 [ 43 610]]"
43,SVM44,SVMF3L6P5K2B,"[[691  45]
 [ 43 610]]"
44,SVM45,SVMF3L6P5K3A,"[[667  69]
 [ 41 612]]"
45,SVM46,SVMF3L6P5K3B,"[[668  68]
 [ 42 611]]"
46,SVM47,SVMF3L6P5K4A,"[[473 263]
 [260 393]]"
47,SVM48,SVMF3L6P5K4B,"[[485 251]
 [265 388]]"
48,SVM49,SVMF4L6P3K1A,"[[455  38]
 [ 30 403]]"
49,SVM50,SVMF4L6P3K1B,"[[452  41]
 [ 32 401]]"
50,SVM51,SVMF4L6P3K2A,"[[464  29]
 [146 287]]"
51,SVM52,SVMF4L6P3K2B,"[[464  29]
 [148 285]]"
52,SVM53,SVMF4L6P3K3A,"[[451  42]
 [ 59 374]]"
53,SVM54,SVMF4L6P3K3B,"[[454  39]
 [ 62 371]]"
54,SVM55,SVMF4L6P3K4A,"[[407  86]
 [109 324]]"
55,SVM56,SVMF4L6P3K4B,"[[411  82]
 [115 318]]"
56,SVM57,SVMF4L6P5K1A,"[[659  77]
 [ 47 606]]"
57,SVM58,SVMF4L6P5K1B,"[[662  74]
 [ 47 606]]"
58,SVM59,SVMF4L6P5K2A,"[[690  46]
 [205 448]]"
59,SVM60,SVMF4L6P5K2B,"[[691  45]
 [208 445]]"
60,SVM61,SVMF4L6P5K3A,"[[669  67]
 [ 84 569]]"
61,SVM62,SVMF4L6P5K3B,"[[670  66]
 [ 85 568]]"
62,SVM63,SVMF4L6P5K4A,"[[614 122]
 [147 506]]"
63,SVM64,SVMF4L6P5K4B,"[[614 122]
 [148 505]]"
