,Numerical ID,Model name,Value
0,LRG1,LRGF1L6P3S1A,0.94
1,LRG2,LRGF1L6P3S1B,0.94
2,LRG3,LRGF1L6P3S2A,0.94
3,LRG4,LRGF1L6P3S2B,0.94
4,LRG5,LRGF1L6P3S3A,0.93
5,LRG6,LRGF1L6P3S3B,0.93
6,LRG7,LRGF1L6P3S4A,0.94
7,LRG8,LRGF1L6P3S4B,0.94
8,LRG9,LRGF1L6P3S5A,0.94
9,LRG10,LRGF1L6P3S5B,0.94
10,LRG11,LRGF1L6P5S1A,0.94
11,LRG12,LRGF1L6P5S1B,0.94
12,LRG13,LRGF1L6P5S2A,0.94
13,LRG14,LRGF1L6P5S2B,0.94
14,LRG15,LRGF1L6P5S3A,0.93
15,LRG16,LRGF1L6P5S3B,0.93
16,LRG17,LRGF1L6P5S4A,0.94
17,LRG18,LRGF1L6P5S4B,0.94
18,LRG19,LRGF1L6P5S5A,0.94
19,LRG20,LRGF1L6P5S5B,0.94
20,LRG21,LRGF2L6P3S1A,0.94
21,LRG22,LRGF2L6P3S1B,0.94
22,LRG23,LRGF2L6P3S2A,0.94
23,LRG24,LRGF2L6P3S2B,0.94
24,LRG25,LRGF2L6P3S3A,0.94
25,LRG26,LRGF2L6P3S3B,0.94
26,LRG27,LRGF2L6P3S4A,0.94
27,LRG28,LRGF2L6P3S4B,0.94
28,LRG29,LRGF2L6P3S5A,0.94
29,LRG30,LRGF2L6P3S5B,0.94
30,LRG31,LRGF2L6P5S1A,0.94
31,LRG32,LRGF2L6P5S1B,0.93
32,LRG33,LRGF2L6P5S2A,0.94
33,LRG34,LRGF2L6P5S2B,0.93
34,LRG35,LRGF2L6P5S3A,0.94
35,LRG36,LRGF2L6P5S3B,0.94
36,LRG37,LRGF2L6P5S4A,0.93
37,LRG38,LRGF2L6P5S4B,0.94
38,LRG39,LRGF2L6P5S5A,0.94
39,LRG40,LRGF2L6P5S5B,0.94
40,LRG41,LRGF3L6P3S1A,0.86
41,LRG42,LRGF3L6P3S1B,0.86
42,LRG43,LRGF3L6P3S2A,0.86
43,LRG44,LRGF3L6P3S2B,0.86
44,LRG45,LRGF3L6P3S3A,0.86
45,LRG46,LRGF3L6P3S3B,0.86
46,LRG47,LRGF3L6P3S4A,0.86
47,LRG48,LRGF3L6P3S4B,0.86
48,LRG49,LRGF3L6P3S5A,0.86
49,LRG50,LRGF3L6P3S5B,0.86
50,LRG51,LRGF3L6P5S1A,0.86
51,LRG52,LRGF3L6P5S1B,0.86
52,LRG53,LRGF3L6P5S2A,0.86
53,LRG54,LRGF3L6P5S2B,0.86
54,LRG55,LRGF3L6P5S3A,0.86
55,LRG56,LRGF3L6P5S3B,0.86
56,LRG57,LRGF3L6P5S4A,0.86
57,LRG58,LRGF3L6P5S4B,0.86
58,LRG59,LRGF3L6P5S5A,0.86
59,LRG60,LRGF3L6P5S5B,0.86
60,LRG61,LRGF4L6P3S1A,0.93
61,LRG62,LRGF4L6P3S1B,0.93
62,LRG63,LRGF4L6P3S2A,0.93
63,LRG64,LRGF4L6P3S2B,0.93
64,LRG65,LRGF4L6P3S3A,0.93
65,LRG66,LRGF4L6P3S3B,0.93
66,LRG67,LRGF4L6P3S4A,0.84
67,LRG68,LRGF4L6P3S4B,0.84
68,LRG69,LRGF4L6P3S5A,0.84
69,LRG70,LRGF4L6P3S5B,0.83
70,LRG71,LRGF4L6P5S1A,0.92
71,LRG72,LRGF4L6P5S1B,0.92
72,LRG73,LRGF4L6P5S2A,0.92
73,LRG74,LRGF4L6P5S2B,0.92
74,LRG75,LRGF4L6P5S3A,0.92
75,LRG76,LRGF4L6P5S3B,0.92
76,LRG77,LRGF4L6P5S4A,0.84
77,LRG78,LRGF4L6P5S4B,0.84
78,LRG79,LRGF4L6P5S5A,0.83
79,LRG80,LRGF4L6P5S5B,0.83
