,Numerical ID,Model name,Value
0,RF1,RFF1L6P3EN1A,0.95
1,RF2,RFF1L6P3EN1B,0.95
2,RF3,RFF1L6P3EN2A,0.95
3,RF4,RFF1L6P3EN2B,0.96
4,RF5,RFF1L6P3EN3A,0.95
5,RF6,RFF1L6P3EN3B,0.96
6,RF7,RFF1L6P3GN1A,0.95
7,RF8,RFF1L6P3GN1B,0.95
8,RF9,RFF1L6P3GN2A,0.95
9,RF10,RFF1L6P3GN2B,0.95
10,RF11,RFF1L6P3GN3A,0.95
11,RF12,RFF1L6P3GN3B,0.95
12,RF13,RFF1L6P5EN1A,0.95
13,RF14,RFF1L6P5EN1B,0.95
14,RF15,RFF1L6P5EN2A,0.95
15,RF16,RFF1L6P5EN2B,0.95
16,RF17,RFF1L6P5EN3A,0.95
17,RF18,RFF1L6P5EN3B,0.95
18,RF19,RFF1L6P5GN1A,0.95
19,RF20,RFF1L6P5GN1B,0.95
20,RF21,RFF1L6P5GN2A,0.95
21,RF22,RFF1L6P5GN2B,0.95
22,RF23,RFF1L6P5GN3A,0.95
23,RF24,RFF1L6P5GN3B,0.95
24,RF25,RFF2L6P3EN1A,0.95
25,RF26,RFF2L6P3EN1B,0.95
26,RF27,RFF2L6P3EN2A,0.95
27,RF28,RFF2L6P3EN2B,0.95
28,RF29,RFF2L6P3EN3A,0.95
29,RF30,RFF2L6P3EN3B,0.95
30,RF31,RFF2L6P3GN1A,0.94
31,RF32,RFF2L6P3GN1B,0.95
32,RF33,RFF2L6P3GN2A,0.95
33,RF34,RFF2L6P3GN2B,0.95
34,RF35,RFF2L6P3GN3A,0.95
35,RF36,RFF2L6P3GN3B,0.95
36,RF37,RFF2L6P5EN1A,0.94
37,RF38,RFF2L6P5EN1B,0.95
38,RF39,RFF2L6P5EN2A,0.95
39,RF40,RFF2L6P5EN2B,0.95
40,RF41,RFF2L6P5EN3A,0.95
41,RF42,RFF2L6P5EN3B,0.95
42,RF43,RFF2L6P5GN1A,0.94
43,RF44,RFF2L6P5GN1B,0.94
44,RF45,RFF2L6P5GN2A,0.95
45,RF46,RFF2L6P5GN2B,0.94
46,RF47,RFF2L6P5GN3A,0.94
47,RF48,RFF2L6P5GN3B,0.94
48,RF49,RFF3L6P3EN1A,0.93
49,RF50,RFF3L6P3EN1B,0.94
50,RF51,RFF3L6P3EN2A,0.94
51,RF52,RFF3L6P3EN2B,0.94
52,RF53,RFF3L6P3EN3A,0.94
53,RF54,RFF3L6P3EN3B,0.94
54,RF55,RFF3L6P3GN1A,0.93
55,RF56,RFF3L6P3GN1B,0.93
56,RF57,RFF3L6P3GN2A,0.94
57,RF58,RFF3L6P3GN2B,0.93
58,RF59,RFF3L6P3GN3A,0.94
59,RF60,RFF3L6P3GN3B,0.94
60,RF61,RFF3L6P5EN1A,0.93
61,RF62,RFF3L6P5EN1B,0.93
62,RF63,RFF3L6P5EN2A,0.93
63,RF64,RFF3L6P5EN2B,0.93
64,RF65,RFF3L6P5EN3A,0.93
65,RF66,RFF3L6P5EN3B,0.93
66,RF67,RFF3L6P5GN1A,0.93
67,RF68,RFF3L6P5GN1B,0.94
68,RF69,RFF3L6P5GN2A,0.93
69,RF70,RFF3L6P5GN2B,0.94
70,RF71,RFF3L6P5GN3A,0.94
71,RF72,RFF3L6P5GN3B,0.94
72,RF73,RFF4L6P3EN1A,0.93
73,RF74,RFF4L6P3EN1B,0.93
74,RF75,RFF4L6P3EN2A,0.93
75,RF76,RFF4L6P3EN2B,0.93
76,RF77,RFF4L6P3EN3A,0.93
77,RF78,RFF4L6P3EN3B,0.93
78,RF79,RFF4L6P3GN1A,0.93
79,RF80,RFF4L6P3GN1B,0.93
80,RF81,RFF4L6P3GN2A,0.93
81,RF82,RFF4L6P3GN2B,0.93
82,RF83,RFF4L6P3GN3A,0.93
83,RF84,RFF4L6P3GN3B,0.93
84,RF85,RFF4L6P5EN1A,0.93
85,RF86,RFF4L6P5EN1B,0.93
86,RF87,RFF4L6P5EN2A,0.93
87,RF88,RFF4L6P5EN2B,0.93
88,RF89,RFF4L6P5EN3A,0.93
89,RF90,RFF4L6P5EN3B,0.93
90,RF91,RFF4L6P5GN1A,0.93
91,RF92,RFF4L6P5GN1B,0.93
92,RF93,RFF4L6P5GN2A,0.93
93,RF94,RFF4L6P5GN2B,0.93
94,RF95,RFF4L6P5GN3A,0.93
95,RF96,RFF4L6P5GN3B,0.93
