,Accuracy,Balanced Accuracy,Precision,F1,Recall,Confusion matrix
RF1,0.95,0.95,0.98,0.95,0.92,"[[483  10]
 [ 33 400]]"
RF2,0.95,0.95,0.97,0.95,0.93,"[[480  13]
 [ 29 404]]"
RF3,0.96,0.96,0.97,0.95,0.94,"[[481  12]
 [ 27 406]]"
RF4,0.96,0.96,0.98,0.96,0.94,"[[483  10]
 [ 28 405]]"
RF5,0.95,0.95,0.97,0.95,0.93,"[[481  12]
 [ 30 403]]"
RF6,0.96,0.96,0.98,0.96,0.94,"[[483  10]
 [ 28 405]]"
RF7,0.96,0.96,0.97,0.95,0.94,"[[480  13]
 [ 26 407]]"
RF8,0.95,0.95,0.96,0.95,0.94,"[[477  16]
 [ 26 407]]"
RF9,0.96,0.96,0.97,0.95,0.94,"[[480  13]
 [ 26 407]]"
RF10,0.96,0.95,0.96,0.95,0.94,"[[478  15]
 [ 26 407]]"
RF11,0.96,0.96,0.97,0.95,0.94,"[[480  13]
 [ 27 406]]"
RF12,0.96,0.95,0.97,0.95,0.94,"[[479  14]
 [ 27 406]]"
RF13,0.95,0.95,0.96,0.95,0.94,"[[711  25]
 [ 40 613]]"
RF14,0.95,0.95,0.95,0.95,0.94,"[[704  32]
 [ 38 615]]"
RF15,0.95,0.95,0.96,0.95,0.94,"[[711  25]
 [ 41 612]]"
RF16,0.95,0.95,0.96,0.95,0.94,"[[710  26]
 [ 41 612]]"
RF17,0.95,0.95,0.96,0.95,0.94,"[[712  24]
 [ 41 612]]"
RF18,0.95,0.95,0.96,0.95,0.94,"[[709  27]
 [ 42 611]]"
RF19,0.95,0.95,0.96,0.95,0.94,"[[709  27]
 [ 39 614]]"
RF20,0.95,0.95,0.95,0.95,0.95,"[[705  31]
 [ 33 620]]"
RF21,0.96,0.95,0.96,0.95,0.95,"[[708  28]
 [ 34 619]]"
RF22,0.95,0.95,0.96,0.95,0.94,"[[709  27]
 [ 38 615]]"
RF23,0.95,0.95,0.96,0.95,0.94,"[[709  27]
 [ 37 616]]"
RF24,0.95,0.95,0.96,0.95,0.94,"[[709  27]
 [ 36 617]]"
RF25,0.95,0.95,0.98,0.95,0.92,"[[483  10]
 [ 33 400]]"
RF26,0.95,0.95,0.98,0.95,0.91,"[[484   9]
 [ 37 396]]"
RF27,0.96,0.96,0.98,0.95,0.93,"[[486   7]
 [ 32 401]]"
RF28,0.95,0.95,0.98,0.95,0.92,"[[484   9]
 [ 35 398]]"
RF29,0.95,0.95,0.98,0.95,0.92,"[[483  10]
 [ 35 398]]"
RF30,0.95,0.95,0.97,0.95,0.92,"[[482  11]
 [ 35 398]]"
RF31,0.95,0.95,0.96,0.94,0.92,"[[477  16]
 [ 33 400]]"
RF32,0.95,0.95,0.97,0.95,0.93,"[[479  14]
 [ 29 404]]"
RF33,0.95,0.95,0.97,0.95,0.93,"[[481  12]
 [ 32 401]]"
RF34,0.95,0.95,0.97,0.95,0.93,"[[479  14]
 [ 30 403]]"
RF35,0.95,0.95,0.97,0.95,0.93,"[[481  12]
 [ 30 403]]"
RF36,0.95,0.95,0.97,0.95,0.93,"[[479  14]
 [ 29 404]]"
RF37,0.95,0.95,0.96,0.94,0.93,"[[709  27]
 [ 47 606]]"
RF38,0.95,0.95,0.96,0.95,0.93,"[[711  25]
 [ 45 608]]"
RF39,0.95,0.95,0.96,0.95,0.93,"[[710  26]
 [ 44 609]]"
RF40,0.95,0.95,0.96,0.95,0.93,"[[711  25]
 [ 43 610]]"
RF41,0.95,0.95,0.96,0.95,0.93,"[[711  25]
 [ 45 608]]"
RF42,0.95,0.95,0.96,0.95,0.93,"[[712  24]
 [ 43 610]]"
RF43,0.95,0.95,0.95,0.94,0.93,"[[706  30]
 [ 43 610]]"
RF44,0.95,0.95,0.95,0.94,0.93,"[[706  30]
 [ 45 608]]"
RF45,0.95,0.95,0.96,0.95,0.93,"[[711  25]
 [ 43 610]]"
RF46,0.95,0.94,0.95,0.94,0.93,"[[706  30]
 [ 46 607]]"
RF47,0.95,0.95,0.96,0.94,0.93,"[[709  27]
 [ 45 608]]"
RF48,0.94,0.94,0.95,0.94,0.93,"[[703  33]
 [ 45 608]]"
RF49,0.94,0.94,0.93,0.93,0.94,"[[463  30]
 [ 28 405]]"
RF50,0.94,0.94,0.93,0.94,0.94,"[[462  31]
 [ 25 408]]"
RF51,0.94,0.94,0.93,0.94,0.94,"[[463  30]
 [ 25 408]]"
RF52,0.94,0.94,0.93,0.94,0.95,"[[462  31]
 [ 23 410]]"
RF53,0.94,0.94,0.93,0.94,0.94,"[[462  31]
 [ 25 408]]"
RF54,0.94,0.94,0.93,0.94,0.95,"[[463  30]
 [ 23 410]]"
RF55,0.94,0.94,0.93,0.93,0.94,"[[463  30]
 [ 27 406]]"
RF56,0.94,0.94,0.92,0.93,0.94,"[[460  33]
 [ 27 406]]"
RF57,0.94,0.94,0.93,0.94,0.94,"[[462  31]
 [ 24 409]]"
RF58,0.94,0.94,0.93,0.93,0.94,"[[460  33]
 [ 24 409]]"
RF59,0.94,0.94,0.93,0.94,0.94,"[[462  31]
 [ 24 409]]"
RF60,0.94,0.94,0.93,0.94,0.94,"[[461  32]
 [ 24 409]]"
RF61,0.93,0.93,0.91,0.93,0.94,"[[676  60]
 [ 36 617]]"
RF62,0.93,0.93,0.91,0.93,0.95,"[[676  60]
 [ 32 621]]"
RF63,0.93,0.93,0.91,0.93,0.95,"[[676  60]
 [ 33 620]]"
RF64,0.93,0.93,0.91,0.93,0.95,"[[676  60]
 [ 32 621]]"
RF65,0.93,0.93,0.91,0.93,0.95,"[[674  62]
 [ 31 622]]"
RF66,0.94,0.94,0.91,0.93,0.95,"[[677  59]
 [ 31 622]]"
RF67,0.93,0.93,0.92,0.93,0.95,"[[679  57]
 [ 35 618]]"
RF68,0.94,0.94,0.92,0.94,0.95,"[[684  52]
 [ 33 620]]"
RF69,0.94,0.94,0.92,0.93,0.95,"[[679  57]
 [ 31 622]]"
RF70,0.94,0.94,0.92,0.94,0.96,"[[685  51]
 [ 29 624]]"
RF71,0.94,0.94,0.92,0.94,0.95,"[[681  55]
 [ 31 622]]"
RF72,0.94,0.94,0.92,0.94,0.96,"[[682  54]
 [ 29 624]]"
RF73,0.94,0.94,0.93,0.93,0.94,"[[461  32]
 [ 27 406]]"
RF74,0.93,0.93,0.92,0.93,0.94,"[[456  37]
 [ 27 406]]"
RF75,0.93,0.93,0.92,0.93,0.94,"[[456  37]
 [ 27 406]]"
RF76,0.93,0.93,0.92,0.93,0.94,"[[457  36]
 [ 27 406]]"
RF77,0.93,0.93,0.91,0.93,0.94,"[[454  39]
 [ 26 407]]"
RF78,0.93,0.93,0.92,0.93,0.94,"[[456  37]
 [ 27 406]]"
RF79,0.94,0.94,0.93,0.93,0.94,"[[461  32]
 [ 28 405]]"
RF80,0.93,0.93,0.92,0.93,0.94,"[[457  36]
 [ 27 406]]"
RF81,0.93,0.93,0.92,0.93,0.94,"[[456  37]
 [ 27 406]]"
RF82,0.94,0.94,0.92,0.93,0.94,"[[458  35]
 [ 24 409]]"
RF83,0.93,0.93,0.92,0.93,0.94,"[[456  37]
 [ 26 407]]"
RF84,0.93,0.93,0.91,0.93,0.94,"[[455  38]
 [ 25 408]]"
RF85,0.94,0.94,0.93,0.93,0.94,"[[689  47]
 [ 42 611]]"
RF86,0.93,0.93,0.93,0.93,0.94,"[[687  49]
 [ 42 611]]"
RF87,0.93,0.93,0.92,0.93,0.94,"[[684  52]
 [ 42 611]]"
RF88,0.93,0.93,0.92,0.93,0.94,"[[683  53]
 [ 40 613]]"
RF89,0.93,0.93,0.92,0.93,0.94,"[[684  52]
 [ 41 612]]"
RF90,0.93,0.93,0.92,0.93,0.94,"[[682  54]
 [ 40 613]]"
RF91,0.93,0.93,0.92,0.93,0.94,"[[684  52]
 [ 41 612]]"
RF92,0.93,0.93,0.92,0.93,0.94,"[[682  54]
 [ 39 614]]"
RF93,0.93,0.93,0.92,0.93,0.94,"[[683  53]
 [ 39 614]]"
RF94,0.93,0.93,0.92,0.93,0.94,"[[680  56]
 [ 41 612]]"
RF95,0.93,0.93,0.92,0.93,0.94,"[[683  53]
 [ 41 612]]"
RF96,0.93,0.93,0.91,0.93,0.94,"[[678  58]
 [ 39 614]]"
