,Accuracy,Balanced Accuracy,Precision,F1,Recall,Confusion matrix
SVM1,0.94,0.94,0.94,0.94,0.94,"[[465  28]
 [ 27 406]]"
SVM2,0.94,0.94,0.93,0.93,0.94,"[[463  30]
 [ 27 406]]"
SVM3,0.94,0.94,0.98,0.93,0.89,"[[487   6]
 [ 49 384]]"
SVM4,0.94,0.94,0.98,0.93,0.89,"[[487   6]
 [ 49 384]]"
SVM5,0.95,0.95,0.97,0.95,0.93,"[[481  12]
 [ 31 402]]"
SVM6,0.95,0.95,0.97,0.95,0.92,"[[482  11]
 [ 33 400]]"
SVM7,0.9,0.9,0.89,0.9,0.9,"[[446  47]
 [ 43 390]]"
SVM8,0.9,0.9,0.89,0.9,0.9,"[[446  47]
 [ 43 390]]"
SVM9,0.94,0.94,0.93,0.94,0.94,"[[689  47]
 [ 38 615]]"
SVM10,0.94,0.94,0.93,0.94,0.94,"[[690  46]
 [ 38 615]]"
SVM11,0.94,0.94,0.98,0.93,0.89,"[[724  12]
 [ 73 580]]"
SVM12,0.94,0.93,0.98,0.93,0.89,"[[724  12]
 [ 75 578]]"
SVM13,0.95,0.95,0.96,0.95,0.94,"[[713  23]
 [ 42 611]]"
SVM14,0.95,0.95,0.96,0.95,0.93,"[[713  23]
 [ 43 610]]"
SVM15,0.91,0.91,0.89,0.9,0.91,"[[664  72]
 [ 57 596]]"
SVM16,0.91,0.91,0.9,0.9,0.91,"[[668  68]
 [ 62 591]]"
SVM17,0.94,0.94,0.93,0.93,0.93,"[[464  29]
 [ 29 404]]"
SVM18,0.94,0.93,0.93,0.93,0.93,"[[465  28]
 [ 32 401]]"
SVM19,0.93,0.92,0.99,0.92,0.86,"[[488   5]
 [ 61 372]]"
SVM20,0.93,0.92,0.99,0.92,0.86,"[[488   5]
 [ 62 371]]"
SVM21,0.95,0.95,0.98,0.95,0.92,"[[483  10]
 [ 33 400]]"
SVM22,0.95,0.95,0.98,0.95,0.92,"[[484   9]
 [ 33 400]]"
SVM23,0.92,0.92,0.91,0.91,0.91,"[[453  40]
 [ 37 396]]"
SVM24,0.92,0.92,0.91,0.91,0.91,"[[455  38]
 [ 40 393]]"
SVM25,0.93,0.93,0.91,0.93,0.94,"[[677  59]
 [ 36 617]]"
SVM26,0.93,0.93,0.92,0.93,0.94,"[[679  57]
 [ 38 615]]"
SVM27,0.93,0.92,0.98,0.92,0.87,"[[722  14]
 [ 88 565]]"
