,Numerical ID,Model name,Value
0,RF1,RFF1L6P3EN1A,0.98
1,RF2,RFF1L6P3EN1B,0.97
2,RF3,RFF1L6P3EN2A,0.97
3,RF4,RFF1L6P3EN2B,0.98
4,RF5,RFF1L6P3EN3A,0.97
5,RF6,RFF1L6P3EN3B,0.98
6,RF7,RFF1L6P3GN1A,0.97
7,RF8,RFF1L6P3GN1B,0.96
8,RF9,RFF1L6P3GN2A,0.97
9,RF10,RFF1L6P3GN2B,0.96
10,RF11,RFF1L6P3GN3A,0.97
11,RF12,RFF1L6P3GN3B,0.97
12,RF13,RFF1L6P5EN1A,0.96
13,RF14,RFF1L6P5EN1B,0.95
14,RF15,RFF1L6P5EN2A,0.96
15,RF16,RFF1L6P5EN2B,0.96
16,RF17,RFF1L6P5EN3A,0.96
17,RF18,RFF1L6P5EN3B,0.96
18,RF19,RFF1L6P5GN1A,0.96
19,RF20,RFF1L6P5GN1B,0.95
20,RF21,RFF1L6P5GN2A,0.96
21,RF22,RFF1L6P5GN2B,0.96
22,RF23,RFF1L6P5GN3A,0.96
23,RF24,RFF1L6P5GN3B,0.96
24,RF25,RFF2L6P3EN1A,0.98
25,RF26,RFF2L6P3EN1B,0.98
26,RF27,RFF2L6P3EN2A,0.98
27,RF28,RFF2L6P3EN2B,0.98
28,RF29,RFF2L6P3EN3A,0.98
29,RF30,RFF2L6P3EN3B,0.97
30,RF31,RFF2L6P3GN1A,0.96
31,RF32,RFF2L6P3GN1B,0.97
32,RF33,RFF2L6P3GN2A,0.97
33,RF34,RFF2L6P3GN2B,0.97
34,RF35,RFF2L6P3GN3A,0.97
35,RF36,RFF2L6P3GN3B,0.97
36,RF37,RFF2L6P5EN1A,0.96
37,RF38,RFF2L6P5EN1B,0.96
38,RF39,RFF2L6P5EN2A,0.96
39,RF40,RFF2L6P5EN2B,0.96
40,RF41,RFF2L6P5EN3A,0.96
41,RF42,RFF2L6P5EN3B,0.96
42,RF43,RFF2L6P5GN1A,0.95
43,RF44,RFF2L6P5GN1B,0.95
44,RF45,RFF2L6P5GN2A,0.96
45,RF46,RFF2L6P5GN2B,0.95
46,RF47,RFF2L6P5GN3A,0.96
47,RF48,RFF2L6P5GN3B,0.95
48,RF49,RFF3L6P3EN1A,0.93
49,RF50,RFF3L6P3EN1B,0.93
50,RF51,RFF3L6P3EN2A,0.93
51,RF52,RFF3L6P3EN2B,0.93
52,RF53,RFF3L6P3EN3A,0.93
53,RF54,RFF3L6P3EN3B,0.93
54,RF55,RFF3L6P3GN1A,0.93
55,RF56,RFF3L6P3GN1B,0.92
56,RF57,RFF3L6P3GN2A,0.93
57,RF58,RFF3L6P3GN2B,0.93
58,RF59,RFF3L6P3GN3A,0.93
59,RF60,RFF3L6P3GN3B,0.93
60,RF61,RFF3L6P5EN1A,0.91
61,RF62,RFF3L6P5EN1B,0.91
62,RF63,RFF3L6P5EN2A,0.91
63,RF64,RFF3L6P5EN2B,0.91
64,RF65,RFF3L6P5EN3A,0.91
65,RF66,RFF3L6P5EN3B,0.91
66,RF67,RFF3L6P5GN1A,0.92
67,RF68,RFF3L6P5GN1B,0.92
68,RF69,RFF3L6P5GN2A,0.92
69,RF70,RFF3L6P5GN2B,0.92
70,RF71,RFF3L6P5GN3A,0.92
71,RF72,RFF3L6P5GN3B,0.92
72,RF73,RFF4L6P3EN1A,0.93
73,RF74,RFF4L6P3EN1B,0.92
74,RF75,RFF4L6P3EN2A,0.92
75,RF76,RFF4L6P3EN2B,0.92
76,RF77,RFF4L6P3EN3A,0.91
77,RF78,RFF4L6P3EN3B,0.92
78,RF79,RFF4L6P3GN1A,0.93
79,RF80,RFF4L6P3GN1B,0.92
80,RF81,RFF4L6P3GN2A,0.92
81,RF82,RFF4L6P3GN2B,0.92
82,RF83,RFF4L6P3GN3A,0.92
83,RF84,RFF4L6P3GN3B,0.91
84,RF85,RFF4L6P5EN1A,0.93
85,RF86,RFF4L6P5EN1B,0.93
86,RF87,RFF4L6P5EN2A,0.92
87,RF88,RFF4L6P5EN2B,0.92
88,RF89,RFF4L6P5EN3A,0.92
89,RF90,RFF4L6P5EN3B,0.92
90,RF91,RFF4L6P5GN1A,0.92
91,RF92,RFF4L6P5GN1B,0.92
92,RF93,RFF4L6P5GN2A,0.92
93,RF94,RFF4L6P5GN2B,0.92
94,RF95,RFF4L6P5GN3A,0.92
95,RF96,RFF4L6P5GN3B,0.91
