,Numerical ID,Model name,Value
0,LRG1,LRGF1L6P3S1A,0.93
1,LRG2,LRGF1L6P3S1B,0.93
2,LRG3,LRGF1L6P3S2A,0.93
3,LRG4,LRGF1L6P3S2B,0.93
4,LRG5,LRGF1L6P3S3A,0.93
5,LRG6,LRGF1L6P3S3B,0.93
6,LRG7,LRGF1L6P3S4A,0.93
7,LRG8,LRGF1L6P3S4B,0.93
8,LRG9,LRGF1L6P3S5A,0.93
9,LRG10,LRGF1L6P3S5B,0.93
10,LRG11,LRGF1L6P5S1A,0.94
11,LRG12,LRGF1L6P5S1B,0.94
12,LRG13,LRGF1L6P5S2A,0.94
13,LRG14,LRGF1L6P5S2B,0.94
14,LRG15,LRGF1L6P5S3A,0.94
15,LRG16,LRGF1L6P5S3B,0.94
16,LRG17,LRGF1L6P5S4A,0.94
17,LRG18,LRGF1L6P5S4B,0.94
18,LRG19,LRGF1L6P5S5A,0.94
19,LRG20,LRGF1L6P5S5B,0.94
20,LRG21,LRGF2L6P3S1A,0.94
21,LRG22,LRGF2L6P3S1B,0.94
22,LRG23,LRGF2L6P3S2A,0.94
23,LRG24,LRGF2L6P3S2B,0.94
24,LRG25,LRGF2L6P3S3A,0.94
25,LRG26,LRGF2L6P3S3B,0.94
26,LRG27,LRGF2L6P3S4A,0.94
27,LRG28,LRGF2L6P3S4B,0.94
28,LRG29,LRGF2L6P3S5A,0.94
29,LRG30,LRGF2L6P3S5B,0.94
30,LRG31,LRGF2L6P5S1A,0.94
31,LRG32,LRGF2L6P5S1B,0.94
32,LRG33,LRGF2L6P5S2A,0.94
33,LRG34,LRGF2L6P5S2B,0.94
34,LRG35,LRGF2L6P5S3A,0.95
35,LRG36,LRGF2L6P5S3B,0.95
36,LRG37,LRGF2L6P5S4A,0.94
37,LRG38,LRGF2L6P5S4B,0.94
38,LRG39,LRGF2L6P5S5A,0.95
39,LRG40,LRGF2L6P5S5B,0.95
40,LRG41,LRGF3L6P3S1A,0.88
41,LRG42,LRGF3L6P3S1B,0.87
42,LRG43,LRGF3L6P3S2A,0.88
43,LRG44,LRGF3L6P3S2B,0.87
44,LRG45,LRGF3L6P3S3A,0.88
45,LRG46,LRGF3L6P3S3B,0.88
46,LRG47,LRGF3L6P3S4A,0.88
47,LRG48,LRGF3L6P3S4B,0.88
48,LRG49,LRGF3L6P3S5A,0.88
49,LRG50,LRGF3L6P3S5B,0.88
50,LRG51,LRGF3L6P5S1A,0.88
51,LRG52,LRGF3L6P5S1B,0.87
52,LRG53,LRGF3L6P5S2A,0.88
53,LRG54,LRGF3L6P5S2B,0.87
54,LRG55,LRGF3L6P5S3A,0.88
55,LRG56,LRGF3L6P5S3B,0.87
56,LRG57,LRGF3L6P5S4A,0.88
57,LRG58,LRGF3L6P5S4B,0.87
58,LRG59,LRGF3L6P5S5A,0.88
59,LRG60,LRGF3L6P5S5B,0.87
60,LRG61,LRGF4L6P3S1A,0.94
61,LRG62,LRGF4L6P3S1B,0.93
62,LRG63,LRGF4L6P3S2A,0.94
63,LRG64,LRGF4L6P3S2B,0.94
64,LRG65,LRGF4L6P3S3A,0.94
65,LRG66,LRGF4L6P3S3B,0.94
66,LRG67,LRGF4L6P3S4A,0.87
67,LRG68,LRGF4L6P3S4B,0.86
68,LRG69,LRGF4L6P3S5A,0.9
69,LRG70,LRGF4L6P3S5B,0.89
70,LRG71,LRGF4L6P5S1A,0.94
71,LRG72,LRGF4L6P5S1B,0.93
72,LRG73,LRGF4L6P5S2A,0.93
73,LRG74,LRGF4L6P5S2B,0.94
74,LRG75,LRGF4L6P5S3A,0.94
75,LRG76,LRGF4L6P5S3B,0.94
76,LRG77,LRGF4L6P5S4A,0.89
77,LRG78,LRGF4L6P5S4B,0.88
78,LRG79,LRGF4L6P5S5A,0.91
79,LRG80,LRGF4L6P5S5B,0.91
