,Descriptors,Coeff
125,125,2.22
26,26,1.42
46,46,1.39
119,119,1.36
81,81,1.3
103,103,1.19
162,162,1.18
55,55,1.14
58,58,1.1
101,101,0.96
83,83,0.94
45,45,0.91
146,146,0.9
62,62,0.89
17,17,0.87
165,165,0.87
136,136,0.85
106,106,0.7
164,164,0.64
85,85,0.64
100,100,0.63
71,71,0.6
150,150,0.58
117,117,0.57
27,27,0.55
92,92,0.52
90,90,0.52
145,145,0.51
159,159,0.51
157,157,0.47
121,121,0.46
74,74,0.46
64,64,0.45
122,122,0.43
52,52,0.43
57,57,0.43
142,142,0.41
68,68,0.4
155,155,0.4
131,131,0.4
42,42,0.38
51,51,0.38
94,94,0.36
140,140,0.36
133,133,0.35
156,156,0.35
128,128,0.34
107,107,0.29
108,108,0.28
75,75,0.25
120,120,0.24
47,47,0.24
56,56,0.23
38,38,0.22
143,143,0.21
127,127,0.21
97,97,0.18
66,66,0.16
63,63,0.16
41,41,0.15
160,160,0.14
151,151,0.12
54,54,0.11
69,69,0.11
126,126,0.1
60,60,0.09
118,118,0.09
154,154,0.08
79,79,0.07
61,61,0.06
111,111,0.05
158,158,0.04
80,80,0.01
13,13,0.01
1,1,0.0
0,0,0.0
2,2,0.0
4,4,0.0
31,31,-0.01
3,3,-0.01
5,5,-0.01
91,91,-0.02
6,6,-0.02
12,12,-0.03
10,10,-0.04
135,135,-0.06
113,113,-0.06
86,86,-0.06
141,141,-0.07
96,96,-0.07
9,9,-0.07
59,59,-0.08
93,93,-0.09
109,109,-0.09
7,7,-0.1
147,147,-0.1
82,82,-0.13
16,16,-0.13
138,138,-0.14
98,98,-0.16
65,65,-0.16
18,18,-0.16
112,112,-0.16
20,20,-0.17
15,15,-0.18
104,104,-0.18
35,35,-0.19
95,95,-0.21
134,134,-0.23
149,149,-0.26
153,153,-0.26
53,53,-0.28
29,29,-0.29
115,115,-0.3
30,30,-0.31
139,139,-0.38
72,72,-0.39
32,32,-0.4
50,50,-0.41
163,163,-0.41
39,39,-0.43
40,40,-0.43
70,70,-0.43
99,99,-0.45
87,87,-0.46
76,76,-0.48
130,130,-0.5
129,129,-0.51
73,73,-0.51
124,124,-0.52
78,78,-0.54
137,137,-0.55
34,34,-0.55
114,114,-0.56
24,24,-0.57
152,152,-0.57
88,88,-0.58
25,25,-0.61
14,14,-0.63
44,44,-0.63
49,49,-0.65
144,144,-0.67
21,21,-0.67
33,33,-0.68
161,161,-0.73
37,37,-0.73
116,116,-0.76
84,84,-0.77
22,22,-0.78
36,36,-0.81
110,110,-0.82
77,77,-0.85
19,19,-0.88
132,132,-0.91
8,8,-1.03
105,105,-1.07
148,148,-1.17
11,11,-1.21
28,28,-1.24
67,67,-1.3
48,48,-1.33
43,43,-1.36
102,102,-1.45
123,123,-1.52
89,89,-1.71
166,166,-1.91
23,23,-2.4
