,Descriptors,Coeff
637,637,0.786
202,202,0.75
1160,1160,0.69
160,160,0.656
1390,1390,0.632
597,597,0.608
992,992,0.607
1747,1747,0.602
1416,1416,0.589
2009,2009,0.583
889,889,0.579
1920,1920,0.577
1279,1279,0.553
494,494,0.529
465,465,0.519
935,935,0.509
573,573,0.495
795,795,0.494
1146,1146,0.488
377,377,0.478
1617,1617,0.469
1381,1381,0.462
384,384,0.459
1955,1955,0.45
1192,1192,0.441
1907,1907,0.44
925,925,0.439
400,400,0.439
1661,1661,0.435
1499,1499,0.427
1162,1162,0.426
11,11,0.424
504,504,0.422
271,271,0.413
132,132,0.413
542,542,0.413
1263,1263,0.41
1435,1435,0.41
860,860,0.407
480,480,0.405
475,475,0.405
906,906,0.405
1912,1912,0.402
154,154,0.402
1984,1984,0.4
1610,1610,0.4
1678,1678,0.398
945,945,0.395
250,250,0.394
750,750,0.389
1662,1662,0.387
2044,2044,0.387
689,689,0.386
1000,1000,0.385
1546,1546,0.381
1867,1867,0.38
1062,1062,0.379
1743,1743,0.378
162,162,0.377
864,864,0.376
1518,1518,0.372
376,376,0.367
1155,1155,0.366
582,582,0.364
1264,1264,0.362
1954,1954,0.362
1332,1332,0.36
1473,1473,0.359
92,92,0.356
648,648,0.355
590,590,0.353
997,997,0.352
336,336,0.352
1301,1301,0.351
329,329,0.35
76,76,0.349
396,396,0.349
1235,1235,0.349
1068,1068,0.348
107,107,0.343
741,741,0.342
1637,1637,0.342
209,209,0.342
725,725,0.339
86,86,0.339
1227,1227,0.338
1756,1756,0.337
1056,1056,0.333
1061,1061,0.33
490,490,0.33
1181,1181,0.33
102,102,0.33
198,198,0.329
734,734,0.328
1686,1686,0.328
1817,1817,0.327
911,911,0.326
609,609,0.319
1896,1896,0.319
1341,1341,0.319
1324,1324,0.318
732,732,0.317
1189,1189,0.316
1455,1455,0.315
34,34,0.315
1245,1245,0.314
1437,1437,0.313
1079,1079,0.312
412,412,0.311
527,527,0.311
488,488,0.31
1712,1712,0.309
655,655,0.308
710,710,0.308
40,40,0.307
1574,1574,0.306
1323,1323,0.306
1295,1295,0.306
931,931,0.305
1253,1253,0.303
2039,2039,0.302
1754,1754,0.301
754,754,0.301
399,399,0.3
1504,1504,0.3
1765,1765,0.299
129,129,0.298
1640,1640,0.298
437,437,0.293
1132,1132,0.292
484,484,0.291
1708,1708,0.289
267,267,0.288
1469,1469,0.287
168,168,0.287
1631,1631,0.287
728,728,0.286
455,455,0.286
289,289,0.286
1093,1093,0.286
647,647,0.285
779,779,0.285
535,535,0.284
1095,1095,0.283
88,88,0.282
901,901,0.282
1596,1596,0.281
851,851,0.281
1454,1454,0.279
191,191,0.278
1334,1334,0.278
383,383,0.278
1584,1584,0.277
1854,1854,0.277
1856,1856,0.277
633,633,0.277
936,936,0.275
1107,1107,0.275
875,875,0.274
1302,1302,0.274
1704,1704,0.272
1697,1697,0.271
1352,1352,0.271
578,578,0.27
430,430,0.27
148,148,0.269
1879,1879,0.269
511,511,0.268
855,855,0.266
1803,1803,0.266
743,743,0.266
1731,1731,0.265
1399,1399,0.264
211,211,0.264
679,679,0.264
1982,1982,0.264
561,561,0.264
229,229,0.263
1669,1669,0.263
155,155,0.263
66,66,0.262
800,800,0.262
1555,1555,0.261
836,836,0.26
1172,1172,0.26
1667,1667,0.259
704,704,0.259
507,507,0.258
558,558,0.258
240,240,0.258
2000,2000,0.258
330,330,0.257
827,827,0.257
1945,1945,0.256
242,242,0.256
569,569,0.256
867,867,0.253
987,987,0.252
203,203,0.251
799,799,0.251
1680,1680,0.25
596,596,0.25
1147,1147,0.25
281,281,0.246
598,598,0.246
586,586,0.245
1052,1052,0.244
1344,1344,0.243
1009,1009,0.242
1033,1033,0.242
1153,1153,0.241
1206,1206,0.241
1141,1141,0.241
1873,1873,0.24
300,300,0.239
1964,1964,0.239
989,989,0.238
395,395,0.237
273,273,0.237
887,887,0.237
348,348,0.237
99,99,0.236
1358,1358,0.234
1432,1432,0.234
1374,1374,0.234
285,285,0.233
559,559,0.233
1821,1821,0.232
1987,1987,0.232
1207,1207,0.231
861,861,0.23
244,244,0.23
702,702,0.23
1073,1073,0.23
793,793,0.229
627,627,0.229
1785,1785,0.229
1779,1779,0.229
1127,1127,0.228
877,877,0.227
521,521,0.227
1931,1931,0.226
1468,1468,0.226
916,916,0.226
1735,1735,0.225
982,982,0.225
1088,1088,0.224
1659,1659,0.223
117,117,0.223
10,10,0.222
1887,1887,0.222
984,984,0.22
1251,1251,0.22
2011,2011,0.22
913,913,0.218
441,441,0.218
964,964,0.218
181,181,0.217
1070,1070,0.217
1600,1600,0.217
2045,2045,0.216
1287,1287,0.216
369,369,0.215
1978,1978,0.215
809,809,0.215
1006,1006,0.213
1074,1074,0.213
628,628,0.212
1442,1442,0.212
197,197,0.211
1868,1868,0.21
115,115,0.21
1291,1291,0.21
1306,1306,0.209
1131,1131,0.209
1833,1833,0.209
341,341,0.208
293,293,0.208
386,386,0.208
690,690,0.208
1898,1898,0.208
1451,1451,0.206
624,624,0.205
427,427,0.204
544,544,0.203
1694,1694,0.201
894,894,0.201
1185,1185,0.2
506,506,0.2
1847,1847,0.2
1936,1936,0.2
1748,1748,0.199
612,612,0.199
1774,1774,0.198
1901,1901,0.197
1529,1529,0.197
687,687,0.196
358,358,0.196
1355,1355,0.195
1870,1870,0.194
1710,1710,0.194
416,416,0.194
360,360,0.193
2033,2033,0.192
815,815,0.192
1152,1152,0.192
765,765,0.191
1170,1170,0.19
1634,1634,0.19
1014,1014,0.189
1180,1180,0.188
1408,1408,0.188
557,557,0.188
1844,1844,0.186
1123,1123,0.185
991,991,0.185
25,25,0.185
91,91,0.185
