,Descriptors,Coeff
637,637,0.794
202,202,0.751
1160,1160,0.678
160,160,0.67
1390,1390,0.622
597,597,0.617
992,992,0.606
1747,1747,0.592
1416,1416,0.585
1920,1920,0.584
2009,2009,0.583
889,889,0.581
1279,1279,0.55
494,494,0.526
465,465,0.517
935,935,0.502
573,573,0.501
1146,1146,0.495
795,795,0.494
377,377,0.466
384,384,0.464
1381,1381,0.461
1617,1617,0.454
1955,1955,0.45
1192,1192,0.447
925,925,0.441
1661,1661,0.437
1907,1907,0.436
1499,1499,0.435
400,400,0.433
11,11,0.425
1162,1162,0.422
504,504,0.419
1912,1912,0.414
132,132,0.414
480,480,0.411
271,271,0.41
542,542,0.409
1435,1435,0.408
906,906,0.407
1984,1984,0.398
860,860,0.398
250,250,0.397
1610,1610,0.395
475,475,0.395
945,945,0.395
2044,2044,0.392
1678,1678,0.391
1662,1662,0.39
689,689,0.388
1867,1867,0.388
1062,1062,0.386
1000,1000,0.382
1743,1743,0.381
162,162,0.381
750,750,0.381
154,154,0.379
1546,1546,0.378
1518,1518,0.374
864,864,0.373
582,582,0.373
1263,1263,0.371
92,92,0.368
376,376,0.368
1264,1264,0.365
1155,1155,0.364
1473,1473,0.363
1954,1954,0.363
1332,1332,0.362
76,76,0.359
997,997,0.355
1068,1068,0.354
1301,1301,0.354
648,648,0.35
336,336,0.349
329,329,0.347
1637,1637,0.346
590,590,0.345
396,396,0.344
107,107,0.341
725,725,0.341
732,732,0.34
741,741,0.34
1181,1181,0.339
86,86,0.337
209,209,0.336
102,102,0.336
1756,1756,0.335
1817,1817,0.334
1227,1227,0.333
609,609,0.331
1686,1686,0.33
198,198,0.329
490,490,0.329
1324,1324,0.328
911,911,0.323
1245,1245,0.323
1341,1341,0.321
734,734,0.32
1455,1455,0.319
1896,1896,0.316
34,34,0.316
1079,1079,0.313
1295,1295,0.312
527,527,0.312
412,412,0.312
1061,1061,0.311
1189,1189,0.311
1437,1437,0.31
710,710,0.309
488,488,0.309
1712,1712,0.308
1574,1574,0.308
1056,1056,0.307
931,931,0.307
1235,1235,0.305
1253,1253,0.304
754,754,0.304
655,655,0.304
1132,1132,0.301
1323,1323,0.299
1504,1504,0.298
129,129,0.298
2039,2039,0.296
1765,1765,0.296
399,399,0.295
267,267,0.295
437,437,0.294
484,484,0.293
455,455,0.293
1640,1640,0.292
1754,1754,0.292
1631,1631,0.29
289,289,0.289
647,647,0.289
1093,1093,0.288
240,240,0.288
535,535,0.287
1708,1708,0.286
779,779,0.286
1469,1469,0.286
1454,1454,0.285
1302,1302,0.284
1095,1095,0.282
430,430,0.282
191,191,0.282
936,936,0.281
1731,1731,0.281
40,40,0.28
728,728,0.28
901,901,0.279
1854,1854,0.278
1334,1334,0.278
383,383,0.277
855,855,0.277
1172,1172,0.276
851,851,0.276
1584,1584,0.275
633,633,0.274
281,281,0.273
875,875,0.273
1704,1704,0.273
2000,2000,0.273
1856,1856,0.272
148,148,0.271
1107,1107,0.271
1352,1352,0.271
211,211,0.27
987,987,0.269
578,578,0.269
743,743,0.268
330,330,0.267
561,561,0.267
1596,1596,0.267
511,511,0.267
1669,1669,0.266
1879,1879,0.266
1697,1697,0.266
242,242,0.265
569,569,0.264
229,229,0.264
596,596,0.263
1803,1803,0.263
168,168,0.262
1399,1399,0.261
1667,1667,0.26
679,679,0.258
704,704,0.258
1982,1982,0.258
800,800,0.257
1052,1052,0.256
1945,1945,0.256
867,867,0.255
88,88,0.254
507,507,0.254
66,66,0.253
203,203,0.253
799,799,0.252
558,558,0.252
827,827,0.25
1555,1555,0.248
836,836,0.248
1873,1873,0.248
887,887,0.248
598,598,0.247
285,285,0.246
300,300,0.246
1680,1680,0.246
627,627,0.245
1206,1206,0.244
155,155,0.244
1147,1147,0.243
1153,1153,0.243
348,348,0.243
1344,1344,0.242
586,586,0.242
1033,1033,0.24
1141,1141,0.239
273,273,0.239
1009,1009,0.237
99,99,0.235
1931,1931,0.234
793,793,0.234
861,861,0.234
1779,1779,0.234
1987,1987,0.233
989,989,0.232
702,702,0.231
1070,1070,0.231
395,395,0.231
521,521,0.23
1207,1207,0.23
1374,1374,0.229
1074,1074,0.229
877,877,0.229
1127,1127,0.228
1432,1432,0.228
244,244,0.227
916,916,0.226
1358,1358,0.226
1073,1073,0.225
559,559,0.225
1659,1659,0.225
1821,1821,0.225
1735,1735,0.224
1833,1833,0.223
1785,1785,0.223
441,441,0.222
115,115,0.222
1251,1251,0.222
1868,1868,0.221
1887,1887,0.22
10,10,0.22
369,369,0.22
1964,1964,0.22
628,628,0.219
809,809,0.219
1006,1006,0.219
1442,1442,0.219
1287,1287,0.219
416,416,0.217
117,117,0.217
1088,1088,0.216
293,293,0.216
2011,2011,0.216
1306,1306,0.215
1600,1600,0.215
1468,1468,0.214
964,964,0.213
1898,1898,0.213
1978,1978,0.213
91,91,0.212
984,984,0.212
2045,2045,0.212
1291,1291,0.212
181,181,0.211
624,624,0.21
197,197,0.21
913,913,0.209
690,690,0.209
544,544,0.207
1131,1131,0.206
687,687,0.205
765,765,0.205
341,341,0.204
1694,1694,0.203
1901,1901,0.203
1748,1748,0.203
894,894,0.201
427,427,0.2
815,815,0.2
358,358,0.2
612,612,0.199
1451,1451,0.198
1529,1529,0.198
1847,1847,0.197
1355,1355,0.197
1774,1774,0.197
1185,1185,0.197
506,506,0.196
1634,1634,0.195
386,386,0.194
360,360,0.193
1180,1180,0.193
1936,1936,0.192
1170,1170,0.191
1014,1014,0.19
557,557,0.19
1152,1152,0.188
36,36,0.186
1339,1339,0.185
1950,1950,0.184
25,25,0.184
1391,1391,0.184
156,156,0.183
1269,1269,0.183
1870,1870,0.183
700,700,0.182
764,764,0.182
1989,1989,0.182
1831,1831,0.181
1096,1096,0.181
991,991,0.181
526,526,0.179
2010,2010,0.179
1123,1123,0.179
2017,2017,0.178
328,328,0.178
1408,1408,0.178
297,297,0.178
2033,2033,0.177
121,121,0.177
1844,1844,0.177
1908,1908,0.177
1520,1520,0.176
1063,1063,0.175
1850,1850,0.175
840,840,0.175
1234,1234,0.174
205,205,0.174
1016,1016,0.174
982,982,0.174
1914,1914,0.174
53,53,0.173
1980,1980,0.172
801,801,0.172
1384,1384,0.172
560,560,0.172
1671,1671,0.172
848,848,0.171
1307,1307,0.171
317,317,0.171
531,531,0.171
38,38,0.169
69,69,0.169
1657,1657,0.169
1607,1607,0.168
1218,1218,0.168
977,977,0.167
890,890,0.167
2003,2003,0.167
324,324,0.167
82,82,0.166
727,727,0.166
763,763,0.165
562,562,0.164
1233,1233,0.164
709,709,0.164
757,757,0.164
713,713,0.163
108,108,0.162
2031,2031,0.162
1496,1496,0.161
1148,1148,0.161
1135,1135,0.161
14,14,0.161
1270,1270,0.16
1247,1247,0.159
1699,1699,0.159
834,834,0.158
1317,1317,0.158
1825,1825,0.158
485,485,0.158
1886,1886,0.157
19,19,0.157
472,472,0.156
238,238,0.156
846,846,0.155
650,650,0.155
1644,1644,0.155
1436,1436,0.155
1676,1676,0.154
1262,1262,0.154
278,278,0.154
2014,2014,0.153
1329,1329,0.153
1342,1342,0.153
1691,1691,0.152
486,486,0.152
1439,1439,0.152
789,789,0.152
268,268,0.152
806,806,0.151
1577,1577,0.151
1034,1034,0.151
1350,1350,0.151
1486,1486,0.15
497,497,0.15
1261,1261,0.149
220,220,0.149
739,739,0.148
1308,1308,0.147
1303,1303,0.147
1254,1254,0.147
499,499,0.147
1054,1054,0.147
1260,1260,0.147
1089,1089,0.146
1337,1337,0.145
920,920,0.145
1929,1929,0.145
1972,1972,0.144
1576,1576,0.143
1804,1804,0.143
393,393,0.143
1272,1272,0.142
1824,1824,0.142
1371,1371,0.142
1853,1853,0.142
570,570,0.142
1899,1899,0.142
661,661,0.141
2021,2021,0.141
1524,1524,0.141
1692,1692,0.14
1114,1114,0.139
1718,1718,0.139
1894,1894,0.139
1212,1212,0.138
1983,1983,0.137
688,688,0.137
956,956,0.137
1834,1834,0.136
930,930,0.136
993,993,0.135
1776,1776,0.135
1415,1415,0.135
1361,1361,0.134
1586,1586,0.134
1157,1157,0.133
1755,1755,0.133
626,626,0.133
1494,1494,0.133
461,461,0.132
359,359,0.132
1533,1533,0.132
143,143,0.13
1750,1750,0.13
1495,1495,0.13
1198,1198,0.13
433,433,0.13
1433,1433,0.129
103,103,0.129
456,456,0.129
617,617,0.129
1427,1427,0.128
1557,1557,0.128
870,870,0.127
1044,1044,0.127
43,43,0.127
1589,1589,0.126
1820,1820,0.126
1445,1445,0.126
909,909,0.126
1594,1594,0.126
372,372,0.125
595,595,0.125
787,787,0.125
1791,1791,0.124
1998,1998,0.124
1918,1918,0.124
58,58,0.124
361,361,0.124
924,924,0.123
592,592,0.122
1025,1025,0.122
841,841,0.122
1130,1130,0.122
1237,1237,0.121
1951,1951,0.121
1939,1939,0.121
1583,1583,0.121
313,313,0.12
1710,1710,0.12
589,589,0.119
449,449,0.119
1852,1852,0.118
355,355,0.118
1795,1795,0.118
1734,1734,0.118
1449,1449,0.118
1563,1563,0.118
1428,1428,0.117
966,966,0.116
842,842,0.116
1540,1540,0.116
701,701,0.116
97,97,0.116
1359,1359,0.115
1928,1928,0.115
1990,1990,0.115
234,234,0.115
385,385,0.115
33,33,0.114
1807,1807,0.114
1877,1877,0.114
1175,1175,0.113
1281,1281,0.113
1517,1517,0.113
774,774,0.112
1826,1826,0.112
1595,1595,0.112
1872,1872,0.112
1177,1177,0.112
879,879,0.111
100,100,0.11
467,467,0.11
668,668,0.109
295,295,0.109
1860,1860,0.109
1196,1196,0.109
662,662,0.108
352,352,0.108
745,745,0.108
723,723,0.108
1573,1573,0.108
1158,1158,0.107
420,420,0.107
434,434,0.107
1316,1316,0.107
974,974,0.107
640,640,0.107
187,187,0.106
1208,1208,0.106
1648,1648,0.106
1673,1673,0.106
1179,1179,0.105
1159,1159,0.105
1347,1347,0.105
2005,2005,0.105
161,161,0.105
1808,1808,0.104
30,30,0.104
2024,2024,0.103
672,672,0.103
1848,1848,0.102
1104,1104,0.102
1841,1841,0.102
1188,1188,0.102
1620,1620,0.102
1471,1471,0.101
1137,1137,0.101
2034,2034,0.101
1429,1429,0.101
1030,1030,0.1
856,856,0.1
1134,1134,0.1
425,425,0.099
796,796,0.099
1118,1118,0.099
1742,1742,0.099
1581,1581,0.099
600,600,0.099
1143,1143,0.098
226,226,0.098
1229,1229,0.097
1386,1386,0.097
1231,1231,0.097
477,477,0.096
849,849,0.096
1688,1688,0.096
1440,1440,0.095
1129,1129,0.095
1778,1778,0.095
635,635,0.095
219,219,0.095
636,636,0.094
919,919,0.094
785,785,0.094
338,338,0.093
1530,1530,0.093
770,770,0.093
664,664,0.092
510,510,0.092
345,345,0.092
1505,1505,0.092
468,468,0.092
1658,1658,0.092
2002,2002,0.092
1379,1379,0.092
18,18,0.092
1380,1380,0.092
1205,1205,0.091
498,498,0.091
1214,1214,0.091
1683,1683,0.091
1010,1010,0.09
1538,1538,0.09
1510,1510,0.089
546,546,0.089
1419,1419,0.089
545,545,0.088
1572,1572,0.088
111,111,0.088
1626,1626,0.087
891,891,0.086
67,67,0.086
1210,1210,0.086
65,65,0.086
537,537,0.085
1156,1156,0.084
1028,1028,0.084
1927,1927,0.084
1084,1084,0.083
1501,1501,0.083
1462,1462,0.083
1249,1249,0.083
1497,1497,0.082
2047,2047,0.082
46,46,0.082
180,180,0.082
443,443,0.081
653,653,0.081
1475,1475,0.081
703,703,0.081
502,502,0.08
1647,1647,0.08
478,478,0.08
1900,1900,0.078
607,607,0.078
1940,1940,0.078
306,306,0.078
258,258,0.077
602,602,0.077
2008,2008,0.077
176,176,0.077
1335,1335,0.077
201,201,0.077
1331,1331,0.077
665,665,0.077
885,885,0.076
1988,1988,0.076
144,144,0.075
125,125,0.074
771,771,0.074
1221,1221,0.074
1967,1967,0.074
656,656,0.074
1985,1985,0.073
1801,1801,0.073
1059,1059,0.073
22,22,0.073
195,195,0.072
658,658,0.072
1101,1101,0.072
1745,1745,0.072
1753,1753,0.072
83,83,0.072
1120,1120,0.071
760,760,0.071
459,459,0.071
1489,1489,0.071
1932,1932,0.07
356,356,0.07
1285,1285,0.07
1452,1452,0.07
1993,1993,0.069
1587,1587,0.068
772,772,0.068
1772,1772,0.068
946,946,0.068
95,95,0.067
1363,1363,0.067
528,528,0.066
715,715,0.066
1266,1266,0.066
575,575,0.066
968,968,0.066
1992,1992,0.066
170,170,0.065
1194,1194,0.065
1738,1738,0.065
402,402,0.065
450,450,0.065
1215,1215,0.065
257,257,0.065
119,119,0.065
1209,1209,0.064
1150,1150,0.064
1874,1874,0.064
163,163,0.064
123,123,0.063
50,50,0.063
315,315,0.063
340,340,0.062
1777,1777,0.062
1102,1102,0.061
1075,1075,0.061
241,241,0.06
1890,1890,0.06
1203,1203,0.06
711,711,0.06
621,621,0.06
1193,1193,0.06
819,819,0.06
1284,1284,0.06
173,173,0.06
2046,2046,0.059
406,406,0.059
28,28,0.059
1946,1946,0.059
165,165,0.058
854,854,0.058
1003,1003,0.058
13,13,0.057
1219,1219,0.057
686,686,0.056
574,574,0.056
1191,1191,0.056
731,731,0.056
1045,1045,0.056
1614,1614,0.056
1702,1702,0.055
910,910,0.055
1280,1280,0.055
80,80,0.055
512,512,0.055
150,150,0.055
1811,1811,0.055
2023,2023,0.055
1411,1411,0.055
1389,1389,0.054
529,529,0.054
1871,1871,0.054
1294,1294,0.053
1246,1246,0.053
716,716,0.053
1216,1216,0.053
583,583,0.053
1187,1187,0.053
719,719,0.052
1248,1248,0.052
1457,1457,0.051
1805,1805,0.051
1438,1438,0.051
326,326,0.051
93,93,0.05
694,694,0.05
563,563,0.05
947,947,0.05
939,939,0.049
149,149,0.049
751,751,0.049
1195,1195,0.049
1222,1222,0.049
1823,1823,0.049
262,262,0.048
962,962,0.048
1999,1999,0.048
1800,1800,0.048
678,678,0.048
418,418,0.047
825,825,0.047
2035,2035,0.047
312,312,0.047
1916,1916,0.046
1953,1953,0.046
442,442,0.046
1548,1548,0.046
866,866,0.045
893,893,0.045
603,603,0.045
957,957,0.045
505,505,0.045
5,5,0.044
534,534,0.044
812,812,0.044
460,460,0.044
1664,1664,0.044
1109,1109,0.044
1476,1476,0.043
236,236,0.043
1106,1106,0.043
1812,1812,0.043
29,29,0.043
1200,1200,0.043
1258,1258,0.042
539,539,0.042
983,983,0.042
457,457,0.042
1651,1651,0.041
1700,1700,0.041
1336,1336,0.041
54,54,0.041
1521,1521,0.041
501,501,0.04
141,141,0.04
1286,1286,0.039
473,473,0.039
2015,2015,0.039
1017,1017,0.038
1201,1201,0.038
1418,1418,0.038
1055,1055,0.038
474,474,0.038
1558,1558,0.037
721,721,0.037
1461,1461,0.037
1376,1376,0.037
1749,1749,0.037
1405,1405,0.037
23,23,0.036
1015,1015,0.036
1183,1183,0.036
1144,1144,0.036
322,322,0.036
1888,1888,0.035
1395,1395,0.035
811,811,0.035
346,346,0.035
908,908,0.035
1330,1330,0.035
1252,1252,0.034
551,551,0.034
2026,2026,0.034
685,685,0.034
1855,1855,0.034
1318,1318,0.033
816,816,0.033
758,758,0.033
1952,1952,0.033
221,221,0.033
215,215,0.032
733,733,0.032
462,462,0.032
1325,1325,0.031
1522,1522,0.031
375,375,0.031
838,838,0.031
1087,1087,0.03
447,447,0.029
1138,1138,0.029
440,440,0.028
1668,1668,0.028
1624,1624,0.028
695,695,0.027
1675,1675,0.027
57,57,0.027
1199,1199,0.027
532,532,0.027
70,70,0.027
1588,1588,0.026
1288,1288,0.026
1827,1827,0.026
256,256,0.026
895,895,0.026
1022,1022,0.025
106,106,0.025
1690,1690,0.024
1974,1974,0.024
1349,1349,0.024
1537,1537,0.023
1290,1290,0.023
858,858,0.023
1190,1190,0.023
469,469,0.022
225,225,0.022
104,104,0.022
1057,1057,0.022
880,880,0.021
1792,1792,0.021
45,45,0.02
953,953,0.02
549,549,0.02
378,378,0.02
138,138,0.019
1641,1641,0.019
1366,1366,0.019
1674,1674,0.019
676,676,0.019
2041,2041,0.019
212,212,0.018
1922,1922,0.018
1001,1001,0.017
224,224,0.016
850,850,0.016
1578,1578,0.016
2027,2027,0.016
1241,1241,0.016
1464,1464,0.015
1880,1880,0.015
1629,1629,0.014
643,643,0.014
49,49,0.014
1421,1421,0.013
422,422,0.013
981,981,0.013
1124,1124,0.013
392,392,0.013
518,518,0.013
320,320,0.013
1553,1553,0.013
852,852,0.012
56,56,0.012
327,327,0.012
949,949,0.012
1903,1903,0.012
967,967,0.012
1008,1008,0.012
128,128,0.012
821,821,0.012
1547,1547,0.012
216,216,0.011
876,876,0.011
611,611,0.011
366,366,0.011
171,171,0.011
1026,1026,0.01
2006,2006,0.01
1275,1275,0.01
837,837,0.01
550,550,0.01
1917,1917,0.01
167,167,0.01
576,576,0.01
1500,1500,0.009
1076,1076,0.009
1970,1970,0.008
1663,1663,0.008
769,769,0.008
1605,1605,0.007
1905,1905,0.007
1580,1580,0.007
1991,1991,0.007
388,388,0.006
657,657,0.006
436,436,0.005
1479,1479,0.005
1354,1354,0.005
318,318,0.005
1543,1543,0.004
1023,1023,0.004
1268,1268,0.004
808,808,0.004
1719,1719,0.004
294,294,0.004
1725,1725,0.004
1711,1711,0.004
255,255,0.003
8,8,0.002
1401,1401,0.002
310,310,0.002
178,178,0.002
567,567,0.002
1007,1007,0.001
1417,1417,0.001
522,522,0.001
1402,1402,0.001
1166,1166,0.0
64,64,0.0
1029,1029,-0.0
1117,1117,-0.0
1112,1112,0.0
48,48,0.0
1178,1178,0.0
1345,1345,0.0
1902,1902,0.0
1368,1368,0.0
223,223,0.0
17,17,-0.0
1271,1271,0.0
938,938,0.0
374,374,0.0
1789,1789,0.0
1836,1836,0.0
1835,1835,0.0
332,332,0.0
290,290,0.0
1830,1830,0.0
337,337,0.0
912,912,0.0
1622,1622,0.0
746,746,0.0
1591,1591,0.0
483,483,0.0
683,683,0.0
1541,1541,0.0
1732,1732,0.0
444,444,0.0
646,646,0.0
1525,1525,0.0
1869,1869,0.0
777,777,0.0
1519,1519,0.0
639,639,0.0
868,868,-0.002
183,183,-0.002
1032,1032,-0.002
200,200,-0.002
1840,1840,-0.003
199,199,-0.003
344,344,-0.003
1531,1531,-0.004
508,508,-0.004
810,810,-0.004
844,844,-0.004
784,784,-0.004
1217,1217,-0.004
249,249,-0.005
524,524,-0.005
902,902,-0.005
1784,1784,-0.005
1224,1224,-0.006
1935,1935,-0.006
1477,1477,-0.006
1086,1086,-0.006
131,131,-0.006
538,538,-0.006
90,90,-0.007
886,886,-0.007
3,3,-0.007
942,942,-0.007
835,835,-0.008
1562,1562,-0.008
1653,1653,-0.008
1091,1091,-0.008
1542,1542,-0.008
1996,1996,-0.009
568,568,-0.01
1506,1506,-0.01
1434,1434,-0.01
1470,1470,-0.01
905,905,-0.01
1164,1164,-0.011
1806,1806,-0.011
1080,1080,-0.011
1568,1568,-0.011
2042,2042,-0.011
1949,1949,-0.012
1703,1703,-0.012
1876,1876,-0.012
84,84,-0.012
952,952,-0.012
888,888,-0.013
266,266,-0.013
1608,1608,-0.013
302,302,-0.013
1133,1133,-0.014
958,958,-0.014
950,950,-0.014
303,303,-0.015
1851,1851,-0.015
1552,1552,-0.015
593,593,-0.015
740,740,-0.015
802,802,-0.015
1628,1628,-0.015
1783,1783,-0.016
282,282,-0.016
1799,1799,-0.016
998,998,-0.016
1769,1769,-0.016
1311,1311,-0.016
1038,1038,-0.016
142,142,-0.016
217,217,-0.017
1511,1511,-0.017
1413,1413,-0.017
556,556,-0.017
1357,1357,-0.017
37,37,-0.017
995,995,-0.018
1705,1705,-0.018
543,543,-0.018
1503,1503,-0.019
1527,1527,-0.019
1507,1507,-0.019
747,747,-0.019
1934,1934,-0.019
2007,2007,-0.019
1140,1140,-0.02
1695,1695,-0.021
1315,1315,-0.021
830,830,-0.021
413,413,-0.021
133,133,-0.022
445,445,-0.022
2029,2029,-0.022
817,817,-0.022
1715,1715,-0.022
1630,1630,-0.022
1623,1623,-0.022
1098,1098,-0.023
706,706,-0.023
736,736,-0.023
1488,1488,-0.023
1960,1960,-0.023
1655,1655,-0.024
1161,1161,-0.024
1400,1400,-0.024
481,481,-0.024
859,859,-0.024
829,829,-0.025
1845,1845,-0.025
1163,1163,-0.025
1639,1639,-0.025
1878,1878,-0.026
1004,1004,-0.026
1976,1976,-0.026
1554,1554,-0.026
390,390,-0.026
305,305,-0.026
1679,1679,-0.026
27,27,-0.027
79,79,-0.028
367,367,-0.028
188,188,-0.028
943,943,-0.029
280,280,-0.029
1369,1369,-0.029
520,520,-0.029
1561,1561,-0.029
515,515,-0.029
1094,1094,-0.029
1338,1338,-0.03
693,693,-0.03
1447,1447,-0.03
807,807,-0.03
363,363,-0.03
39,39,-0.03
35,35,-0.031
1727,1727,-0.031
487,487,-0.031
629,629,-0.031
1388,1388,-0.031
1385,1385,-0.031
9,9,-0.032
1051,1051,-0.032
159,159,-0.032
985,985,-0.032
517,517,-0.033
1741,1741,-0.033
659,659,-0.033
1837,1837,-0.033
1110,1110,-0.033
756,756,-0.033
1816,1816,-0.034
265,265,-0.034
1536,1536,-0.034
476,476,-0.034
1609,1609,-0.034
1862,1862,-0.034
1431,1431,-0.035
744,744,-0.035
692,692,-0.035
1650,1650,-0.035
1487,1487,-0.036
1293,1293,-0.036
666,666,-0.036
1071,1071,-0.036
907,907,-0.037
899,899,-0.038
1919,1919,-0.039
1968,1968,-0.039
1672,1672,-0.039
1882,1882,-0.039
1019,1019,-0.04
761,761,-0.04
1969,1969,-0.04
185,185,-0.041
1122,1122,-0.041
1601,1601,-0.041
904,904,-0.041
824,824,-0.041
1168,1168,-0.041
1483,1483,-0.041
1698,1698,-0.042
1145,1145,-0.042
978,978,-0.042
364,364,-0.042
1410,1410,-0.042
1857,1857,-0.042
370,370,-0.042
786,786,-0.043
1397,1397,-0.043
1282,1282,-0.044
615,615,-0.044
1604,1604,-0.046
1011,1011,-0.046
1904,1904,-0.046
1409,1409,-0.046
466,466,-0.046
1478,1478,-0.046
277,277,-0.047
1961,1961,-0.047
401,401,-0.047
204,204,-0.047
1512,1512,-0.047
619,619,-0.048
78,78,-0.048
1829,1829,-0.048
1866,1866,-0.048
1666,1666,-0.048
194,194,-0.048
279,279,-0.048
986,986,-0.049
1422,1422,-0.049
523,523,-0.049
74,74,-0.05
738,738,-0.05
206,206,-0.05
263,263,-0.05
134,134,-0.05
286,286,-0.05
253,253,-0.051
584,584,-0.051
923,923,-0.051
1372,1372,-0.052
389,389,-0.052
1809,1809,-0.052
566,566,-0.052
781,781,-0.052
1726,1726,-0.053
387,387,-0.053
4,4,-0.053
1979,1979,-0.053
1050,1050,-0.053
631,631,-0.053
1977,1977,-0.054
918,918,-0.054
21,21,-0.054
1921,1921,-0.054
509,509,-0.054
917,917,-0.054
1545,1545,-0.055
1670,1670,-0.055
1566,1566,-0.055
0,0,-0.055
243,243,-0.055
41,41,-0.055
237,237,-0.055
742,742,-0.055
1149,1149,-0.055
961,961,-0.055
415,415,-0.056
1171,1171,-0.056
580,580,-0.057
513,513,-0.057
1065,1065,-0.057
1636,1636,-0.057
1687,1687,-0.057
283,283,-0.057
1103,1103,-0.057
1297,1297,-0.058
1618,1618,-0.058
419,419,-0.058
59,59,-0.059
1632,1632,-0.059
301,301,-0.059
1544,1544,-0.059
404,404,-0.059
1793,1793,-0.059
435,435,-0.059
1701,1701,-0.059
2022,2022,-0.06
791,791,-0.06
500,500,-0.06
1230,1230,-0.06
334,334,-0.06
1858,1858,-0.06
1693,1693,-0.061
259,259,-0.061
182,182,-0.061
865,865,-0.062
136,136,-0.062
1739,1739,-0.062
775,775,-0.062
1643,1643,-0.062
423,423,-0.062
896,896,-0.062
1764,1764,-0.062
1646,1646,-0.062
1136,1136,-0.063
654,654,-0.063
1721,1721,-0.063
1963,1963,-0.064
1304,1304,-0.064
1571,1571,-0.064
398,398,-0.064
1296,1296,-0.065
1514,1514,-0.065
675,675,-0.065
634,634,-0.065
652,652,-0.065
622,622,-0.066
1810,1810,-0.066
362,362,-0.066
869,869,-0.066
594,594,-0.066
89,89,-0.066
1684,1684,-0.067
712,712,-0.067
1682,1682,-0.067
1387,1387,-0.067
1313,1313,-0.067
52,52,-0.067
822,822,-0.067
1420,1420,-0.067
381,381,-0.067
1375,1375,-0.068
1414,1414,-0.068
1362,1362,-0.068
748,748,-0.068
1197,1197,-0.068
1474,1474,-0.068
85,85,-0.069
1115,1115,-0.069
218,218,-0.069
874,874,-0.069
1039,1039,-0.069
2037,2037,-0.069
934,934,-0.07
407,407,-0.07
863,863,-0.07
1567,1567,-0.07
2001,2001,-0.07
724,724,-0.071
1786,1786,-0.071
409,409,-0.071
915,915,-0.071
438,438,-0.071
2028,2028,-0.072
1184,1184,-0.072
959,959,-0.072
1466,1466,-0.073
680,680,-0.073
1590,1590,-0.074
55,55,-0.074
1706,1706,-0.074
26,26,-0.074
12,12,-0.074
1751,1751,-0.074
1012,1012,-0.074
1569,1569,-0.074
2032,2032,-0.075
1926,1926,-0.075
72,72,-0.075
42,42,-0.075
299,299,-0.075
1125,1125,-0.075
1328,1328,-0.076
1484,1484,-0.076
530,530,-0.077
2030,2030,-0.077
555,555,-0.077
1220,1220,-0.077
927,927,-0.078
1424,1424,-0.078
1707,1707,-0.078
47,47,-0.078
798,798,-0.079
1327,1327,-0.079
1948,1948,-0.079
432,432,-0.079
230,230,-0.079
684,684,-0.079
1116,1116,-0.079
1924,1924,-0.08
1443,1443,-0.08
1994,1994,-0.08
446,446,-0.08
1448,1448,-0.08
94,94,-0.08
101,101,-0.081
